bike_number,rideable_type,country,introduced_date
W002165,classic_bike,US,2023-02-10
W003152,classic_bike,US,2023-02-10
W005969,classic_bike,US,2023-02-10
W000027,classic_bike,US,2023-02-10
W009435,classic_bike,US,2023-02-10
W005365,classic_bike,CAN,2023-01-01
W003455,classic_bike,CAN,2023-01-01
W003471,docked_bike,CAN,2023-01-01
W004046,classic_bike,CAN,2023-01-01
W006203,classic_bike,CAN,2023-01-01
W002518,classic_bike,CAN,2023-04-12
W007696,classic_bike,CAN,2023-04-12
W003354,classic_bike,CAN,2023-04-12
W001587,classic_bike,CAN,2023-04-12
W008433,classic_bike,CAN,2023-04-12
W000096,classic_bike,US,2023-05-12
W000858,classic_bike,US,2023-05-12
W004871,classic_bike,US,2023-05-12
W004380,classic_bike,US,2023-05-12
W000156,classic_bike,US,2023-05-12
W003190,classic_bike,US,2023-03-25
W008054,classic_bike,US,2023-03-25
W000735,classic_bike,US,2023-03-25
W004319,classic_bike,US,2023-03-25
W001671,classic_bike,US,2023-03-25
W002684,classic_bike,US,2023-01-01
W004524,classic_bike,US,2023-01-01
W004374,classic_bike,US,2023-01-01
W005052,classic_bike,US,2023-01-01
W007986,electric_bike,US,2023-01-01
W000278,classic_bike,US,2023-04-12
W005490,electric_bike,US,2023-04-12
W003979,classic_bike,US,2023-04-12
W001017,classic_bike,US,2023-04-12
W006929,classic_bike,US,2023-04-12
W000435,classic_bike,CAN,2023-05-12
W009688,classic_bike,CAN,2023-05-12
W003926,classic_bike,CAN,2023-05-12
W005598,classic_bike,CAN,2023-05-12
W008475,classic_bike,CAN,2023-05-12
W003590,classic_bike,US,2023-04-12
W000944,classic_bike,US,2023-04-12
W004259,classic_bike,US,2023-04-12
W009948,classic_bike,US,2023-04-12
W000490,classic_bike,US,2023-04-12
W004721,classic_bike,CAN,2023-05-12
W001556,classic_bike,CAN,2023-05-12
W004996,classic_bike,CAN,2023-05-12
W005209,classic_bike,CAN,2023-05-12
W008291,electric_bike,CAN,2023-05-12
W003687,classic_bike,US,2023-02-10
W002199,electric_bike,US,2023-02-10
W004576,electric_bike,US,2023-02-10
W001427,electric_bike,US,2023-02-10
W000126,classic_bike,US,2023-02-10
W002992,classic_bike,US,2023-03-25
W009079,classic_bike,US,2023-03-25
W001772,electric_bike,US,2023-03-25
W000574,classic_bike,US,2023-03-25
W006834,classic_bike,US,2023-03-25
W009751,classic_bike,CAN,2023-06-18
W003092,classic_bike,CAN,2023-06-18
W007828,electric_bike,CAN,2023-06-18
W009197,classic_bike,CAN,2023-06-18
W005641,classic_bike,CAN,2023-06-18
W001998,electric_bike,CAN,2023-06-18
W004233,classic_bike,CAN,2023-06-18
W002717,classic_bike,CAN,2023-06-18
W004739,classic_bike,CAN,2023-06-18
W009085,docked_bike,CAN,2023-06-18
W004417,classic_bike,CAN,2023-01-01
W005409,classic_bike,CAN,2023-01-01
W002408,classic_bike,CAN,2023-01-01
W005184,electric_bike,CAN,2023-01-01
W000572,classic_bike,CAN,2023-01-01
W004479,classic_bike,CAN,2023-05-12
W008441,classic_bike,CAN,2023-05-12
W008133,electric_bike,CAN,2023-05-12
W008165,classic_bike,CAN,2023-05-12
W002589,classic_bike,CAN,2023-05-12
W004679,classic_bike,CAN,2023-06-18
W001274,electric_bike,CAN,2023-06-18
W003753,classic_bike,CAN,2023-06-18
W009977,classic_bike,CAN,2023-06-18
W005798,classic_bike,CAN,2023-06-18
W000868,docked_bike,US,2023-05-12
W003287,electric_bike,US,2023-05-12
W003680,docked_bike,US,2023-05-12
W008408,electric_bike,US,2023-05-12
W009474,classic_bike,US,2023-05-12
W002325,classic_bike,CAN,2023-01-01
W001765,classic_bike,CAN,2023-01-01
W004758,classic_bike,CAN,2023-01-01
W008205,classic_bike,CAN,2023-01-01
W002879,classic_bike,CAN,2023-01-01
W006505,classic_bike,CAN,2023-07-07
W000617,classic_bike,CAN,2023-07-07
W009728,classic_bike,CAN,2023-07-07
W000498,classic_bike,CAN,2023-07-07
W000680,classic_bike,CAN,2023-07-07
W005894,docked_bike,CAN,2023-03-25
W002884,classic_bike,CAN,2023-03-25
